original_title,production_companies
Out of Time, Monarch Pictures
The Adventures of Rocky & Bullwinkle, KC Medien AG
The Eagle,Toledo Productions
Room, No Trace Camping
Coyote Ugly, Touchstone Pictures
Letters from Iwo Jima, Amblin Entertainment
Hulk, Good Machine
Spy,Twentieth Century Fox Film Corporation
Hereafter, Malpaso Productions
Black Swan,Fox Searchlight Pictures
Driven, Franchise Pictures
16 Blocks, Cheyenne Enterprises
Godzilla, RatPac-Dune Entertainment
The Eagle, Focus Features
Crazy/Beautiful,Touchstone Pictures
Into the Wild, Into the Wild
Big Momma's House 2, Firm Films
Final Destination,New Line Cinema
Gravity, Heyday Films
The Rum Diary, Infinitum Nihil
30 Days of Night, Ghost House Pictures
The Game Plan, Monkey Dance Productions
Saw VI, Twisted Pictures
Red Planet,Village Roadshow Pictures
Monster-in-Law,New Line Cinema
Into the Wild, River Road Entertainment
The Patriot, Columbia Pictures Corporation
Rio 2,Blue Sky Studios
Case 39, Case 39 Productions
Transformers: Revenge of the Fallen, Amblin Entertainment
A Walk Among the Tombstones, Jersey Films
The Hateful Eight,Double Feature Films
Talladega Nights: The Ballad of Ricky Bobby, Apatow Productions
Never Let Me Go, Film4
Letters from Iwo Jima, Warner Bros.
"Monsters, Inc.", Pixar Animation Studios
The Day the Earth Stood Still, Hammerhead Productions
Cinderella, Beagle Pug Films
Suffragette, PathÃ©
Sanctum, Great Wight Productions/ Osford Films
Outlander, VIP Medienfonds 4
Spider-Man 3, Marvel Enterprises
Freddy vs. Jason, Cecchi Gori Group Tiger Cinematografica
Max Payne, Firm Films
Super 8, Amblin Entertainment
Ã†on Flux, Colossal Pictures
Notes on a Scandal,Fox Searchlight Pictures
Doomsday, Intrepid Pictures
Fast & Furious 6, Dentsu
Promised Land, Focus Features
Percy Jackson & the Olympians: The Lightning Thief, Sunswept Entertainment
Paul Blart: Mall Cop, Happy Madison Productions
The Rookie, Gran Via Productions
The Conjuring, The Safran Company
A Good Year,Fox 2000 Pictures
The Departed, Initial Entertainment Group (IEG)
The Beach,20th Century Fox
The Simpsons Movie, Twentieth Century Fox Film Corporation
Reign of Fire, Touchstone Pictures
Dead Silence,Universal Pictures
Legends of Oz: Dorothy's Return,Prana Animation Studios
Piranha 3DD, Intellectual Properties Worldwide
Mama,Universal Pictures
Babel,Paramount Vantage
The Incredible Burt Wonderstone, Carousel Productions
Conan the Barbarian, Nimar Studios
Concussion, LStar Capital
12 Rounds, Midnight Sun Pictures
The Bad Lieutenant: Port of Call - New Orleans, Edward R. Pressman Film
Man on Fire,Regency Enterprises
The Darkest Hour, Bazelevs Production
The Girl with the Dragon Tattoo,Columbia Pictures
John Wick, Warner Bros.
Bridget Jones: The Edge of Reason, Studio Canal
Syriana, FilmWorks
X-Men: First Class, Donners' Company
Dredd, Rena Film
A Man Apart," ""DIA"" Productions GmbH & Co. KG"
Cursed, Dimension Films
Mamma Mia!, Relativity Media
Drive Angry, Millennium Films
Exodus: Gods and Kings, Chernin Entertainment
Quills, Hollywood Partners
The Judge, Big Kid Pictures
Clash of the Titans, Legendary Pictures
Lucky Number Slevin, Ascendant Pictures
Cloverfield,Paramount Pictures
Xin shao lin si,Emperor Motion Pictures
Magic Mike, Extension 765
Ted 2, Media Rights Capital
Up in the Air,Paramount Pictures
Legend of the Guardians: The Owls of Ga'Hoole, Warner Bros.
The Place Beyond the Pines, Verisimilitude
Repo Men,Universal Pictures
Finding Nemo, Disney Enterprises
Ice Age, Twentieth Century Fox Animation
The Water Diviner,Hopscotch Features
Queen of the Damned, Warner Bros.
The Others, Sogecine
American Wedding, LivePlanet
The Chronicles of Narnia: Prince Caspian, Ozumi Films
Minority Report, Blue Tulip Productions
The Ides of March, Crystal City Entertainment
Remember the Titans, Jerry Bruckheimer Films
Southpaw,Escape Artists
Finding Neverland, Film Colony
Reign of Fire, Spyglass Entertainment
Run All Night,Vertigo Entertainment
San Andreas, Flynn Picture Company
Date Movie, New Regency Pictures
Banlieue 13,Canal Plus
Cosmopolis, Prospero Pictures
Dolphin Tale 2, Boxing Cat Films
Secret Window,Columbia Pictures Corporation
X-Men,Twentieth Century Fox Film Corporation
Fast & Furious 6, One Race Productions
Million Dollar Baby, Albert S. Ruddy Productions
TRON: Legacy, Prana Studios
Young Adam,Recorded Picture Company (RPC)
Flight of the Phoenix, Optional Pictures
Push, Infinity Features Entertainment
A Guy Thing, David Ladd Films
Step Up, Offspring Entertainment
Furious 7, One Race Films
Guess Who, 3 Arts Entertainment
The Company Men,Spring Creek Productions
The Artist, Jouror Productions
Entourage,Warner Bros.
Collateral Damage, Hacienda Productions
Austin Powers in Goldmember, Moving Pictures
A Lot Like Love, Beacon Pictures
Safe House, Dentsu
Going the Distance,New Line Cinema
Perfect Stranger,Columbia Pictures
Outlander, Rising Star
Colombiana,TF1 Films Production
Wonderland,Lions Gate Films
Your Highness,Universal Pictures
Hanna, Holleran Company
Broken City, New Regency Pictures
12 Rounds, 20th Century Fox Home Entertainment
A Walk Among the Tombstones, 1984 Private Defense Contractors
Almost Famous, Vinyl Films
The Girl Next Door, Epsilon Motion Pictures
Enemy at the Gates, KC Medien
Priest, TOKYOPOP
Paper Towns,Fox 2000 Pictures
The League of Extraordinary Gentlemen,Twentieth Century Fox Film Corporation
The King's Speech,The Weinstein Company
Signs, The
Ex Machina, Universal Pictures International (UPI)
The Core, Core Productions
21 Jump Street, Original Film
The Matrix Revolutions, Silver Pictures
Swordfish,Village Roadshow Pictures
The Ant Bully, Warner Bros. Animation
Gulliver's Travels, Davis Entertainment
Spy, Chernin Entertainment
Resident Evil: Extinction, Resident Evil Productions
Prometheus, Dune Entertainment
Brothers, Relativity Media
Unleashed, TF1 Films Production
Elektra, Epsilon Motion Pictures
Evil Dead, FilmDistrict
Bridge of Spies,DreamWorks SKG
The Judge,Village Roadshow Pictures
Mission to Mars, The Jacobson Company
DÃ©jÃ  Vu, Touchstone Pictures
Child 44,Summit Entertainment
Elysium, Sony Pictures Entertainment (SPE)
Paranoia, Relativity Media
Moon, Xingu Films
Shrek 2,DreamWorks SKG
The Amazing Spider-Man, Marvel Entertainment
United 93, Sidney Kimmel Entertainment
Batman Begins, Legendary Pictures
Public Enemies,Universal Pictures
Dreamcatcher, NPV Entertainment
The Bourne Legacy, Captivate Entertainment
Chronicle, Dune Entertainment
Scary Movie, Dimension Films
The Invasion, Silver Pictures
Silent Hill, Konami
Star Trek, MavroCine Pictures GmbH & Co. KG
The Iron Lady,UK Film Council
Firewall, Thunder Road Pictures
The Expendables,Millennium Films
Highlander: Endgame,Davis-Panzer Productions
Crash, Bob Yari Productions
Lara Croft: Tomb Raider, Mutual Film Company
Burke & Hare,Ealing Studios
The Longest Yard,Paramount Pictures
Barnyard, Paramount Animation
Birdman, TSG Entertainment
The Hours,Paramount Pictures
Pacific Rim, Indochina Productions
Trapped, Colombia Pictures
The Expendables 3, Ex3 Productions
The Legend of Bagger Vance, Epsilon Motion Pictures
Our Idiot Brother,The Weinstein Company
Victor Frankenstein, TSG Entertainment
New in Town, Edmonds Entertainment Group (EEG)
Killing Them Softly,Plan B Entertainment
Arbitrage, Artina Films
Final Destination 3, Zide-Perry Productions
Dreamcatcher, Kasdan Pictures
Collateral Damage, Warner Bros.
Goosebumps,Columbia Pictures
Insomnia,Section Eight
Hoodwinked!,The Weinstein Company
The Runaways,River Road Entertainment
Mission: Impossible III, MI 3 Film
Chicago, Storyline Entertainment
127 Hours, Darlow Smithson Productions
Larry Crowne, Vendome Pictures
Sky Captain and the World of Tomorrow, Blue Flower Productions
Machete Kills, Demarest Films
Australia, Dune Entertainment III
Final Destination 5,New Line Cinema
Domestic Disturbance,Paramount Pictures
Don't Be Afraid of the Dark, Necropia
Tomorrowland, Babieka
Eye in the Sky, Raindog Films
The Fifth Estate, Participant Media
Hotel Rwanda, United Artists
Reign Over Me, Sunlight Productions
Abraham Lincoln: Vampire Hunter,Bazelevs Production
The Brothers Bloom, Endgame Entertainment
The Dukes of Hazzard,Village Roadshow Pictures
Argo, Smokehouse Pictures
Role Models, Relativity Media
The Departed, Media Asia Films
Cars 2, Pixar Animation Studios
American Pie 2,Universal Pictures
Green Zone,Universal Pictures
The Pianist, Agencja Produkcji Filmowej
Foxcatcher, Media Rights Capital
Jobs, Dillywood
The Final Destination, Practical Pictures
Maze Runner: The Scorch Trials, Temple Hill Entertainment
No Strings Attached, Cold Spring Pictures
Spectre, Danjaq
Project X, Green Hat Films
White Noise, Endgame Entertainment
Conan the Barbarian, Millennium Films
Lone Survivor, Leverage Management
The November Man, Relativity Media
Spy Game, Beacon Communications
Transporter 2, Twentieth Century Fox Film Corporation
Rango, Nickelodeon Movies
Journey 2: The Mysterious Island, Walden Media
Safe,Lawrence Bender Productions
TRON: Legacy,Walt Disney Pictures
Collateral, Parkes/MacDonald Productions
The Smurfs 2, NeoReel
White Noise, Brightlight Pictures
The Queen, PathÃ© Renn Productions
Boogeyman,Ghost House Pictures
United 93,Universal Pictures
Life of Pi, Big Screen Productions
Bad Boys II,Columbia Pictures Corporation
The Hunted,Lakeshore Entertainment
The Grudge 3, Stage 6 Films
Rendition,Anonymous Content
Unfinished Business, Regency Enterprises
Flags of Our Fathers,DreamWorks SKG
Revolutionary Road, BBC Films
22 Jump Street, Metro-Goldwyn-Mayer (MGM)
The DUFF, CBS Films
Love Actually,DNA Films
The Bucket List,Warner Bros.
Percy Jackson & the Olympians: The Lightning Thief, Dune Entertainment
Wedding Crashers, Tapestry Films
The Reaping, Eyetronics
Dreamcatcher, WV Films II
Tristan & Isolde,Twentieth Century Fox Film Corporation
The 6th Day,Columbia Pictures
Sin City: A Dame to Kill For,Miramax Films
August: Osage County, Smokehouse Pictures
Summer Catch, Warner Bros.
If I Stay, Metro-Goldwyn-Mayer (MGM)
Traffic, Splendid Medien AG
Dinner for Schmucks,Paramount Pictures
Stormbreaker, Weinstein Company
Joe Dirt, Happy Madison Productions
The Number 23, Contrafilm
Hansel & Gretel: Witch Hunters, Metro-Goldwyn-Mayer (MGM)
Evolution, Montecito Picture Company
Underworld: Evolution,Lakeshore Entertainment
Paranormal Activity 3, Solana Films
St. Vincent, Crescendo Productions
The Last Legion, Dino De Laurentiis Company
Chocolat, David Brown Productions
Did You Hear About The Morgans?, Banter
Bridesmaids,Universal Pictures
Jeepers Creepers, American Zoetrope
The Prince, Aperture Entertainment
Intolerable Cruelty, Alphaville Productions
Frida, Lions Gate Films
Hulk,Universal Pictures
The Ant Bully, DNA Films
A Good Day to Die Hard, Dune Entertainment
The Illusionist,Michael London Productions
Dallas Buyers Club,Universal Studios
Diary of a Wimpy Kid: Dog Days,Fox 2000 Pictures
Man of Steel, DC Entertainment
World War Z, Apparatus Productions
Scary Movie 4,Dimension Films
License to Wed, Warner Bros. Pictures
The Bounty Hunter, Relativity Media
The Invasion,Village Roadshow Pictures
Focus, Zaftig Films
Let's Be Cops, WideAwake
Real Steel,DreamWorks SKG
The Score, Horseshoe Bay Productions
Cloudy with a Chance of Meatballs 2,Columbia Pictures
Spotlight, Anonymous Content
The Wedding Planner, Prufrock Pictures
The Wild, Hoytyboy Pictures
Goal!: The Dream Begins,Touchstone Pictures
13 Going On 30, Thirteen Productions
Trapped, Propaganda Films
Cloverfield, Bad Robot
Poltergeist, Metro-Goldwyn-Mayer (MGM)
Proof, Hart-Sharp Entertainment
Shallow Hal,Twentieth Century Fox Film Corporation
The Family, EuropaCorp
Killing Them Softly, Chockstone Pictures
Woman in Gold, Origin Pictures
Thank You for Smoking, Room 9 Entertainment
The Next Three Days, FidÃ©litÃ© Films
Sex and the City 2, Home Box Office (HBO)
Eragon, Major Studio Partners
Bandits,Cheyenne Enterprises
Igor,Exodus Film Group
xXx,Columbia Pictures
White House Down, Centropolis Entertainment
(500) Days of Summer, Dune Entertainment III
Movie 43, Wessler Entertainment
The Skeleton Key, Daniel Bobker Productions
Run Fatboy Run, Beech Hill Films
Me and Orson Welles, CinemaNX
Jurassic World, Fuji Television Network
Brooklyn,Wildgaze Films
The Bounty Hunter, Madhouse Entertainment
The Grudge 2, Vertigo Entertainment
American Reunion,Universal Pictures
Monster House, Sony Pictures Entertainment
Lucky Number Slevin, VIP Medienfonds 4
Seabiscuit,Universal Pictures
Oz: The Great and Powerful,Walt Disney Pictures
Employee of the Month,Lionsgate
Superbad, Apatow Productions
There Will Be Blood, Ghoulardi Film Company
The Jacket,Section Eight
Troy, Helena Productions
Men in Black 3,Amblin Entertainment
Colombiana, EuropaCorp
Ready to Rumble,Bel Air Entertainment
Alice in Wonderland, Tim Burton Productions
Dungeons & Dragons, Silver Pictures
Along Came Polly, Loofah Productions
Lo imposible, Telecinco Cinema
Troy, Warner Bros.
Enemy at the Gates, Swanford Films
No Strings Attached, Katalyst Films
Rio,Blue Sky Studios
Norbit, Davis Entertainment
Shrek the Third,DreamWorks Animation
Winter's Tale, Warner Bros.
Mission to Mars, Touchstone Pictures
Taken, Grive Productions
Transformers, DreamWorks SKG
The Twilight Saga: Eclipse, Sunswept Entertainment
Big Momma's House 2,Twentieth Century Fox Film Corporation
The Martian, TSG Entertainment
Mr. & Mrs. Smith, Weed Road Pictures
My Blueberry Nights, Lou Yi Inc.
Let Me In, Overture Films
Spy Kids 3-D: Game Over,Dimension Films
The Princess Diaries, BrownHouse Productions
The Adventures of Tintin, Columbia Pictures
Sinister 2, Automatik Entertainment
The Polar Express, Golden Mean
Sicario, Black Label Media
Post Grad, Cold Spring Pictures
My Big Fat Greek Wedding, Playtone Productions
District 9,WingNut Films
No Country for Old Men, Scott Rudin Productions
In Bruges,Blueprint Pictures
Abraham Lincoln: Vampire Hunter, Tim Burton Productions
Spectre, B24
Rise of the Guardians,DreamWorks Animation
Creed, Chartoff-Winkler Productions
Interstellar, Legendary Pictures
Grindhouse, The
Hancock, Overbrook Entertainment
The Transporter, EuropaCorp
Night at the Museum: Secret of the Tomb, Moving Picture Company (MPC)
Albert Nobbs,Chrysalis Films
Iron Man,Marvel Studios
Furry Vengeance, Participant Media
Oculus, Blumhouse Productions
The Age of Adaline, Sidney Kimmel Entertainment
Vampires Suck,20th Century Fox
Paul, Relativity Media
Winnie the Pooh, Walt Disney Animation Studios
Undisputed, Amen Ra Films
Lara Croft: Tomb Raider, British Broadcasting Corporation (BBC)
Morning Glory,Bad Robot
Gangster Squad, Warner Bros.
Love the Coopers,Imagine Entertainment
The Secret of Moonacre, UK Film Council
The Chronicles of Narnia: The Voyage of the Dawn Treader, Walden Media
A Thousand Words, Saturn Films
The DUFF, Vast Entertainment
Quills, Charenton Productions
Dream House, Morgan Creek Productions
xXx: State of the Union, Columbia Pictures Corporation
The Family, Relativity Media
The Giver, Tonik Productions
Munich,DreamWorks SKG
The Alamo, Touchstone Pictures
A Man Apart, Newman/Tooley Films
Don't Be Afraid of the Dark, Tequila Gang
The Last King of Scotland, Scottish Screen
Hercules, Flynn Picture Company
Zack and Miri Make a Porno,Blue Askew
2 Guns, Envision Entertainment Corporation
Black Swan, Protozoa Pictures
Hachi: A Dog's Tale, Stage 6 Films
Sicko,The Weinstein Company
Undisputed,Miramax Films
Tristan & Isolde, Epsilon Motion Pictures
Toy Story 3, Pixar Animation Studios
The Hobbit: The Desolation of Smaug, New Line Cinema
Paparazzi,20th Century Fox
Knowing, Goldcrest Pictures
"I Love You, Man",DreamWorks SKG
Just Like Heaven, MacDonald/Parkes Productions
Pearl Harbor, Touchstone Pictures
Dracula 2000, Wes Craven Films
Marie Antoinette, Commission du Film France
"Yours, Mine & Ours", Nickelodeon Movies
The Transporter Refueled,EuropaCorp
The Dukes of Hazzard, Gerber Pictures
Dawn of the Planet of the Apes, TSG Entertainment
Underworld: Rise of the Lycans, Sketch Films
Into the Woods, Marc Platt Productions
American Wedding, Loumolo & Co.
Cold Mountain,Miramax Films
Get Hard, Warner Bros.
The Hurt Locker, Voltage Pictures
Homefront,Millennium Films
The Art of War, Morgan Creek Productions
50/50, Mandate Pictures
Paul Blart: Mall Cop 2,Columbia Pictures
Land of the Lost,Universal Pictures
Friday After Next,New Line Cinema
The Bad Lieutenant: Port of Call - New Orleans,Saturn Films
The Golden Compass, Ingenious Film Partners
Race to Witch Mountain, Gunn Films
Cold Mountain, Bona Fide Productions
Shark Night,Incentive Filmed Entertainment
The Devil Wears Prada, Dune Entertainment
The Time Machine, Warner Bros.
The Three Burials of Melquiades Estrada,The Javelina Film Company
R.I.P.D.,Universal Pictures
Percy Jackson: Sea of Monsters, Sunswept Entertainment
National Treasure: Book of Secrets, Saturn Films
Jennifer's Body, Fox Atomic
Virgin Territory, Dino de Laurentiis Cinematografica
The Jacket, Rising Star
Water for Elephants, Fox 2000 Pictures
Annabelle,New Line Cinema
Everest, Walden Media
Easy A,Screen Gems
All About Steve, Fox 2000 Pictures
Gamer, Lionsgate
Rocky Balboa, Metro-Goldwyn-Mayer (MGM)
Bad Santa,Columbia Pictures
Teenage Mutant Ninja Turtles, Platinum Dunes
Racing Stripes,Alcon Entertainment
Save the Last Dance, Cort/Madden Productions
The Wolverine,Twentieth Century Fox Film Corporation
The Twilight Saga: Breaking Dawn - Part 1, Sunswept Entertainment
The Mummy Returns, Alphaville Films
Mortdecai,Lionsgate
Straight Outta Compton,New Line Cinema
The Guardian, Eyetronics
Red Tails,Twentieth Century Fox Film Corporation
We Bought a Zoo,Twentieth Century Fox Film Corporation
U-571,Universal Pictures
The Art of War, Franchise Pictures
The Longest Yard, Columbia Pictures Corporation
Catch Me If You Can,DreamWorks SKG
Eat Pray Love, Red Om Films
Selma, Cloud Eight Films
Evan Almighty, Spyglass Entertainment
Gladiator, Red Wagon Entertainment
American Sniper, Warner Bros.
RockNRolla, Warner Bros.
Osmosis Jones,Conundrum Entertainment
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney
Terminator 3: Rise of the Machines, Intermedia Films
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures
The Majestic, Castle Rock Entertainment
Fantastic Mr. Fox, Twentieth Century Fox Animation
47 Ronin, Moving Picture Company (MPC)
Invictus,Spyglass Entertainment
House of the Dead,Boll Kino Beteiligungs GmbH & Co. KG
Ted,Universal Pictures
Harry Potter and the Order of the Phoenix, Harry Potter Publishing Rights
Road Trip, The Montecito Picture Company
Max Payne, Foxtor Productions
X2, Donners' Company
Drag Me to Hell, Buckaroo Entertainment
The Life of David Gale, Saturn Films
4: Rise of the Silver Surfer, Dune Entertainment
The Martian, Scott Free Productions
Shaft, Scott Rudin Productions
Smart People, Groundswell Productions
Little Man, Wayans Bros. Entertainment
Ocean's Twelve, Section Eight
Baby Mama,Relativity Media
Rebound, Robert Simonds Productions
State of Play, Relativity Media
The Iron Lady, Canal+
Meet Dave, Deep River Productions
Stay, Regency Enterprises
The Fountain, Muse Entertainment Enterprises
Runaway Jury, Epsilon Motion Pictures
Transformers: Age of Extinction,Paramount Pictures
Prometheus,Twentieth Century Fox Film Corporation
The Jacket, 2929 Productions
Australia,Bazmark Films
The Dukes of Hazzard, Warner Bros.
The Frozen Ground, Paradox Entertainment
Burn After Reading, Focus Features
Corky Romano,Robert Simonds Productions
Lucy, Canal+
Zoolander, NPV Entertainment
Orphan, Studio Canal
The Woman in Black,Hammer Film Productions
Paycheck, Lion Rock Productions
Man on Fire, New Regency Pictures
Vicky Cristina Barcelona, Antena 3 Films
Marmaduke,Twentieth Century Fox Film Corporation
The Greatest Game Ever Played,Walt Disney Pictures
Four Christmases, Type A Films
Fast & Furious,Universal Pictures
AntiTrust, Hyde Park Films
Duplicity, Relativity Media
Katy Perry: Part of Me, MTV Films
Drumline,Fox 2000 Pictures
Quills, Industry Entertainment
The Spirit, Lionsgate
A Most Violent Year,Participant Media
Freddy vs. Jason, Sean S. Cunningham Films
Not Another Teen Movie, Neal H. Moritz Productions
Black Christmas,Dimension Films
How to Train Your Dragon 2, Mad Hatter Entertainment
We Own the Night, 2929 Productions
House of Wax, Dark Castle Entertainment
Lara Croft Tomb Raider: The Cradle of Life,Paramount Pictures
Friday Night Lights, Friday Night Lights LLC
Dhoom 2,Yash Raj Films
Lord of War, Entertainment Manufacturing Company
Saving Mr. Banks,Walt Disney Pictures
Bridget Jones: The Edge of Reason,Miramax Films
The Holiday,Columbia Pictures
Mirrors, Luna Pictures
Jack the Giant Slayer,New Line Cinema
Xin shao lin si, China Film Group Corporation (CFGC)
The Fourth Kind,Universal Pictures
Jem and the Holograms,Universal Pictures
Troy, Radiant Productions
Charlie Wilson's War, Playtone Production
Abandon, Touchstone Pictures
Sherlock Holmes, Warner Bros.
Be Cool, Jersey Films
Sabotage,Open Road Films
Planet of the Apes,Twentieth Century Fox Film Corporation
The Hangover, Green Hat Films
The Musketeer,Crystal Sky Worldwide
In the Heart of the Sea,Imagine Entertainment
How to Lose Friends & Alienate People, Lipsync Productions
Underworld, Laurinfilm
A Serious Man, Focus Features
Secret in Their Eyes, IM Global
Goal!: The Dream Begins, Hargitay & Hargitay Pictures in Motion
Les MisÃ©rables, Relativity Media
Jason X,New Line Cinema
The Return, Intrepid Pictures
Rango,Paramount Pictures
Harry Potter and the Order of the Phoenix, Warner Bros.
Pain & Gain,Paramount Pictures
Hulk, Marvel Enterprises
Pirates of the Caribbean: At World's End, Jerry Bruckheimer Films
Little Man,Revolution Studios
The Rookie,Walt Disney Pictures
Freddy vs. Jason, Crystal Lake Entertainment
Battle: Los Angeles, Relativity Media
Open Range,Tig Productions
Insomnia, Witt/Thomas Productions
The Last Airbender,Paramount Pictures
The Skulls, Newmarket Capital Group
The Smurfs, Sony Pictures Animation
The Majestic,Village Roadshow Pictures
Getaway, Saints LA
Grown Ups, Happy Madison Productions
Aquamarine, Storefront Pictures
Dredd, Reliance BIG Entertainment
High Crimes, Regency Enterprises
The Perfect Storm, Baltimore Spring Creek Productions
Mission: Impossible III,Paramount Pictures
The Perks of Being a Wallflower, Mr. Mudd Production
12 Years a Slave, Film4
Finding Forrester, Finding Forrester Productions
Quarantine, Andale Pictures
The Wolverine, Marvel Entertainment
The Dressmaker, Film Art Media
Philomena, Yucaipa Films
Captivity, RAMCO
Abandon,Paramount Pictures
Step Up 3D, Touchstone Pictures
Hellboy, Dark Horse Entertainment
The Host,Nick Wechsler Productions
Uptown Girls,GreeneStreet Films
Cold Mountain, Castel Film Romania
Spy Game, Toho-Towa
Sahara,Paramount Pictures
The Internship, Regency Enterprises
The Hitcher,Intrepid Pictures
Godsend, Artists Production Group (APG)
Charlie's Angels: Full Throttle,Columbia Pictures Corporation
Act of Valor, Bandito Brothers
Ted, Media Rights Capital
The Hateful Eight, FilmColony
Unfinished Business, New Regency Pictures
Ted 2,Universal Pictures
Sydney White, Clifford Werber Productions
Awake, Open City Films
The Vow,Spyglass Entertainment
Spotlight, Rocklin / Faust
Lara Croft: Tomb Raider, Toho-Towa
127 Hours, Cloud Eight Films
Showtime, Overbrook Entertainment
The November Man, SPD Films
The Gift,Blumhouse Productions
Katy Perry: Part of Me,Paramount Pictures
The Last Witch Hunter, Atmosphere Entertainment MM
The Twilight Saga: Breaking Dawn - Part 1, Total Entertainment
Trespass,Nu Image Films
Meet the Robinsons, Walt Disney Animation Studios
The Frozen Ground, Cheetah Vision
There Will Be Blood, Paramount Vantage
Brooklyn's Finest, Thunder Road Productions
Vanity Fair, Focus Features
Black Mass, Free State Pictures
A.I. Artificial Intelligence, Warner Bros.
The Legend of Bagger Vance, Wildwood Enterprises
Alice in Wonderland, Roth Films
Young Adult, Denver and Delilah Productions
Eight Below, The
"Yours, Mine & Ours",Paramount Pictures
Blue Crush, Universal Pictures
Anchorman 2: The Legend Continues, Apatow Productions
The Apparition, Studio Babelsberg Motion Pictures
Rock of Ages,New Line Cinema
Righteous Kill,Grosvenor Park Media Ltd.
Journey to the Center of the Earth, Walden Media
We Were Soldiers, Motion Picture Production GmbH & Co. Erste KG
The Walk, Sony Pictures Entertainment
Brooklyn's Finest, Fuqua Films
Pirates of the Caribbean: On Stranger Tides, Jerry Bruckheimer Films
Gigli, Casey Silver Productions
Oldboy, OB Productions
Meet the Fockers, Universal Pictures
Finding Forrester, Columbia Pictures Corporation
Miami Vice, Metropolis Films
Jumper, Hypnotic
Sahara, Baldwin Entertainment Group
Speed Racer, Studio Babelsberg
High Crimes, New Regency Pictures
Bridget Jones: The Edge of Reason, Working Title Films
The Contract, 3L Filmverleih
The Monuments Men, Smokehouse Pictures
Hitman,Twentieth Century Fox Film Corporation
Inside Out, Walt Disney Studios Motion Pictures
The Grand Budapest Hotel,Fox Searchlight Pictures
Grindhouse, Weinstein Company
Deux frÃ¨res,PathÃ© Renn Productions
The Departed,Vertigo Entertainment
The Conjuring,New Line Cinema
The DUFF,Wonderland Sound and Vision
Lemony Snicket's A Series of Unfortunate Events,Paramount Pictures
The Musketeer, Carousel Picture Company
Vacancy,Screen Gems
The Life of David Gale,Universal Pictures
Dinner for Schmucks, Reliance BIG Entertainment
The Informant!, Participant Media
Charlie's Angels: Full Throttle, Wonderland Sound and Vision
Devil's Due, TSG Entertainment
The Dark Knight Rises,Legendary Pictures
Rumor Has It..., Spring Creek Productions
Knight and Day, Dune Entertainment
The Big Short, Plan B Entertainment
Limitless, Many Rivers Productions
All the King's Men, VIP 4 Medienfonds
Belle, Metrol Technology
Shoot 'Em Up, Angry Films
The SpongeBob Movie: Sponge Out of Water, Nickelodeon Animation Studios
Unbreakable,Limited Edition Productions Inc.
God's Not Dead,Pure Flix Entertainment
Knight and Day, Twentieth Century Fox Film Corporation
That's My Boy, Happy Madison Productions
Eight Below, Spyglass Entertainment
Case 39, Misher Films
Dan in Real Life,Touchstone Pictures
Mission: Impossible II, Cruise/Wagner Productions
John Carter,Walt Disney Pictures
Ocean's Twelve, Jerry Weintraub Productions
Seabiscuit, Spyglass Entertainment
The Fifth Estate, Anonymous Content
Machete Kills,Open Road Films
47 Ronin, Universal
Get Smart,Village Roadshow Pictures
Real Steel, ImageMovers
Transporter 3, Grive Productions
Safe Haven, Relativity Media
Watchmen, Lawrence Gordon Productions
Erin Brockovich,Jersey Films
The Woman in Black, UK Film Council
Hellboy, Starlite Films
Furious 7,Universal Pictures
Bee Movie,Pacific Data Images (PDI)
Sin City: A Dame to Kill For, Troublemaker Studios
No Country for Old Men,Miramax Films
Signs,Kennedy/Marshall Company
Oldboy, Good Universe
The Counselor, Scott Free Productions
Dracula Untold, Fuji Television Network
Devil's Due,Twentieth Century Fox Film Corporation
Ghost Rider, Marvel Enterprises
Bridget Jones's Diary, Universal Pictures
Failure to Launch, Scott Rudin Productions
Coraline,Focus Features
Cast Away,DreamWorks SKG
Ocean's Thirteen, Section Eight
The Good Girl,Fox Searchlight Pictures
Texas Chainsaw 3D,Nu Image Films
Before the Devil Knows You're Dead, Unity Productions
Shutter Island, Phoenix Pictures
Little Black Book,Revolution Studios
The Great Gatsby,Village Roadshow Pictures
Carol, Number 9 Films
The Art of War, Warner Bros.
Elizabethtown,Paramount Pictures
Scream 3,Konrad Pictures
The Island, Warner Bros.
The Little Vampire,New Line Cinema
G-Force,Walt Disney Pictures
"Tomorrow, When the War Began",Omnilab Media
17 Again,New Line Cinema
The Hills Have Eyes, Craven-Maddalena Films
The Wild,Walt Disney Pictures
The Lego Movie, DC Comics
King Arthur, World 2000 Entertainment
Mission to Mars, Red Horizon Productions
Sin City,Dimension Films
The Da Vinci Code, Government of Malta
Mindhunters, Weed Road Pictures
Bandslam,Summit Entertainment
Piranha 3D, Chako Film Company
Gangster Squad,Village Roadshow Pictures
Harry Potter and the Goblet of Fire, Heyday Films
The Assassination of Jesse James by the Coward Robert Ford, Virtual Studios
xXx, Revolution Studios
Epic Movie,Twentieth Century Fox Film Corporation
True Grit, Mike Zoss Productions
Catwoman, DiNovi Pictures
The Grand Budapest Hotel, Scott Rudin Productions
Trainwreck, Apatow Productions
