Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
"Korea, South",1,1,2,2,3,4,4,4,4,11,12,27,28,28,28,28,28,29,30,31,31,15,104,204,433,602,833,977,1261,1766,2337,3150,15,16,19,23,24,24,25,3736,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,4335,8652,8799,8961,8961,9037,9137,9241,9332,9478,9583,5186,9661,9786,5621,6088,6593,7041,7314,7478,9887,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,9976,10674,10683,10694,10708,10718,10728,10738,10752,10761,10765,10062,10774,10156,10237,10284,10331,10384,10423,10780,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,10793,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,10801,11468,11503,10804,10806,10810,10822,10840,10874,11541,11947,12003,12051,12085,12121,12155,12198,12257,12306,12373,11590,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,11629,12850,11668,11719,11776,11814,11852,11902,12904,13373,13417,12967,13030,13091,13137,13181,13244,13293,13338
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,86,91,94,0,94,112,0,0,0,0,0,0,125,250,283,283,283,387,387,449,480,510,561,125,598,604,630,669,703,731,763,780,790,799,126,806,135,145,145,170,184,184,806,870,884,919,919,944,944,944,955,955,989,823,989,1003,1004,1025,1032,1038,1038,1047,1048,1048,851,1064,1064,855,856,856,861,861,862,1064,1298,1326,1326,1437,1437,1486,1486,1486,1486,1486,1064,1486,1486,2169,2169,2169,2169,2169,2169,2169,2677,1142,2878,1142,1142,1142,1142,1263,1263,2991,4307,4715,3064,3064,3064,3356,3508,3703,3886,4100
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,26,43,45,45,0,0,0,0,0,0,0,45,69,72,80,80,104,112,123,130,142,148,56,159,176,188,189,191,195,208,225,235,255,56,266,289,56,58,58,61,64,64,317,993,1154,1234,1300,1355,1405,1524,1658,1751,1915,342,1995,2080,2248,2399,2614,2892,3075,3288,3440,3740,417,4024,479,556,665,743,855,910,4377,8688,9286,10277,11028,11975,12860,13802,14850,15691,16764,4619,17568,18609,19564,20464,21302,21967,22575,23267,24112,25184,4983,26192,27043,5278,5804,6289,6567,7208,7623,27762,33823,34432,34952,35466,35920,36431,36958,37533,38074,38678,28649,39145,39650,40291,41033,41879,42788,43703,44391,44942,45524,29359,46195,29921,30644,31131,31848,32510,33140,46940,53580,54058,47859,48672,49303,49941,50644,51245,52007,52840
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,14,14,16,42,44,44,58,58,84,0,94,107,0,0,0,0,0,0,111,298,339,377,419,430,449,466,489,506,554,116,568,590,612,631,665,665,682,695,708,729,130,746,144,147,216,228,270,280,756,1002,1016,1037,1044,1082,1111,1117,1138,1216,1243,769,1270,1313,1350,1365,1403,1433,1468,1520,1594,1662,795,1722,1748,830,843,871,895,906,931,1817,2093,2166,2166,2207,2285,2472,2562,2657,2657,2789,1845,2981,3356,3356,3726,3954,4204,4446,4513,5017,5296,1871,5506,1899,1936,1974,2007,2032,2055,6261,9910,10410,6767,6878,7094,7377,8141,8279,8847,9358
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,0,8,9,0,0,0,0,0,0,10,16,18,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,19,19,10,19,10,11,12,14,15,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,17,26,30,34,49,71,86,1,111,124,139,180,197,221,244,280,305,347,1,376,398,1,1,1,1,2,6,446,612,630,651,655,657,666,675,682,712,727,458,739,748,761,778,784,804,812,818,836,849,493,858,509,533,542,548,577,589,870,939,946,950,951,962,970,997,1008,1009,1012,871,1016,1025,1030,1046,1047,1049,1053,1057,1061,1064,879,1065,1066,896,896,900,909,928,930,1066,1092,1094,1096,1097,1097,1097,1098,1104,1108,1110,1071,1111,1111,1111,1111,1111,1111,1112,1115,1116,1117,1079,1118,1082,1085,1086,1088,1088,1089,1121,1165,1173,1122,1122,1123,1124,1127,1134,1141,1154
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,0,0,0,0,0,0,0,10,41,61,61,77,93,110,110,120,133,157,13,163,187,248,267,318,333,368,391,412,438,13,446,470,13,16,22,22,32,32,479,609,619,630,632,641,658,663,668,672,673,494,677,677,682,688,696,704,707,710,717,721,508,725,520,527,541,548,576,582,729,845,859,870,878,886,891,902,911,931,954,733,961,1024,1086,1097,1114,1119,1140,1161,1168,1172,737,1191,1220,740,741,750,784,796,809,1233,1388,1402,1422,1442,1446,1464,1473,1489,1495,1510,1242,1536,1587,1603,1622,1644,1662,1697,1719,1740,1745,1256,1778,1306,1312,1320,1331,1350,1368,1788,2082,2168,1796,1830,1855,1873,1885,1907,1946,2011
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,12,17,17,17,24,24,27,27,4,27,4,4,4,4,4,4,35,184,184,35,35,35,79,91,91,91,134
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,3,3,3,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,6,37,48,50,59,59,59,59,76,76,91,6,99,101,101,101,117,120,124,124,141,141,7,141,10,13,14,14,31,31,152,199,211,211,213,215,219,223,226,229,233,154,238,240,249,255,265,265,266,266,269,273,158,280,288,166,170,178,189,199,199,296,397,410,421,446,458,498,509,516,542,581,311,601,626,650,652,662,681,684,729,768,770,316,780,321,334,345,359,370,383,804,963,998,819,833,869,874,891,917,926,957
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,0,8,10,0,0,0,0,0,0,10,24,24,25,26,35,48,49,49,49,51,11,51,51,59,60,61,61,61,61,61,61,11,61,18,18,19,20,21,24,63,64,64,64,64,64,64,65,65,65,68,63,69,71,72,75,75,75,77,99,105,118,63,130,156,63,63,64,64,64,64,168,378,393,409,418,454,467,484,500,510,520,182,544,571,595,639,670,698,713,727,762,802,196,824,209,239,256,256,332,359,874,1342,1389,891,918,989,1046,1117,1182,1268,1342
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,7,28,28,0,28,37,37,51,51,51,56,56,56,56,0,62,68,1,1,1,1,1,1,68,79,79,79,79,79,79,79,79,79,81,75,81,81,81,81,81,81,82,82,82,82,75,82,77,77,77,78,78,78,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,86,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,84,84,83,83,83,83,84,84,84,84
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,3,6,8,12,17,25,27,36,1,49,83,143,179,209,274,299,358,394,460,1,491,537,1,1,1,1,1,1,581,999,1026,1053,1062,1070,1091,1128,1149,1239,1298,649,1326,1350,1370,1398,1410,1426,1438,1449,1344,1375,696,1385,771,811,843,880,912,955,1399,1479,1485,1491,1505,1511,1523,1534,1541,1547,1562,1406,1577,1593,1604,1616,1623,1635,1639,1647,1656,1662,1410,1670,1675,1419,1423,1428,1433,1436,1444,1678,1733,1752,1756,1763,1768,1773,1776,1778,1784,1792,1682,1795,1798,1801,1803,1804,1806,1808,1813,1815,1816,1684,1817,1687,1694,1705,1714,1720,1727,1818,1861,1865,1825,1828,1831,1836,1841,1844,1854,1857
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,7,19,34,51,59,77,140,203,335,1,484,670,798,875,1099,1333,1453,1605,1831,1950,1,1988,2178,1,1,2,2,3,3,2319,3223,3270,3281,3292,3307,3373,3444,3480,3537,3550,2487,3558,3618,3654,3665,3695,3711,3723,3729,3741,3769,2612,3784,2729,2804,2843,2970,3034,3115,3802,3886,3888,3894,3904,3915,3923,3930,3945,3947,3958,3812,3971,3980,3981,3990,3992,3993,3995,4001,4008,4012,3824,4016,4018,3828,3840,3851,3859,3871,3877,4019,4049,4052,4055,4063,4070,4072,4075,4085,4091,4099,4020,4105,4120,4121,4133,4140,4151,4173,4217,4242,4256,4024,4299,4027,4032,4035,4039,4040,4046,4345,4777,4842,4395,4447,4476,4522,4542,4603,4650,4719
MS Zaandam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,17,19,23,26,26,39,0,43,57,0,0,0,0,0,0,57,93,102,106,106,108,110,111,117,120,121,59,121,121,121,121,122,123,124,128,128,128,70,128,70,72,82,88,93,93,132,193,186,186,212,230,238,283,304,322,326,135,371,405,448,488,527,542,586,612,656,698,149,758,771,149,151,158,193,193,193,826,1162,1203,1240,1252,1272,1290,1317,1378,1403,1443,845,1503,1596,1640,1724,1787,1829,1922,2005,2078,2138,908,2214,957,975,1026,1052,1094,1138,2303,4143,4578,2403,2512,2728,2941,3250,3472,3573,3782
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,13,16,16,16,16,17,17,17,3,17,18,23,33,33,33,34,36,36,36,3,37,4,4,5,8,8,8,37,56,57,57,63,63,63,65,70,70,70,38,71,72,82,82,83,101,101,101,203,273,39,279,284,41,41,43,43,43,56,336,455,481,481,529,547,555,564,572,592,620,358,620,730,749,803,941,960,1005,1038,1146,1152,369,1224,393,409,409,438,443,455,1265,2069,2261,1342,1498,1613,1613,1742,1818,1864,1942
Malaysia,0,0,0,3,4,4,4,7,8,8,8,18,18,18,19,19,22,22,22,22,22,8,22,22,22,22,22,22,22,23,23,25,8,10,12,12,12,16,16,29,129,149,149,197,238,428,566,673,790,900,29,1030,1183,1306,1518,1624,1796,2031,2161,2320,2470,36,2626,2766,50,50,83,93,99,117,2908,4346,4530,4683,4817,4987,5072,5182,5251,5305,5389,3116,5425,5482,5532,5603,5691,5742,5780,5820,5851,5945,3333,6002,3483,3662,3793,3963,4119,4228,6071,6656,6726,6742,6779,6819,6855,6872,6894,6941,6978,6176,7009,7059,7137,7185,7245,7417,7604,7619,7629,7732,6298,7762,7819,6353,6383,6428,6467,6535,6589,7857,8338,8369,8402,8445,8453,8494,8505,8515,8529,8535,7877,8556,8572,8587,8590,8596,8600,8606,8616,8634,8637,7970,8639,8247,8266,8303,8322,8329,8336,8640,8696,8704,8643,8648,8658,8663,8668,8674,8677,8683
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,9,10,13,13,13,13,13,0,13,13,13,13,13,13,13,16,16,17,0,17,18,0,0,0,0,4,4,19,19,19,20,20,20,22,25,28,35,52,19,69,83,86,108,129,177,214,226,250,278,19,468,19,19,19,19,19,19,491,835,897,904,955,982,1031,1078,1094,1106,1143,519,1186,1216,1274,1313,1371,1395,1438,1457,1513,1591,527,1672,1773,541,573,617,648,744,790,1829,1962,1976,2003,2013,2035,2065,2094,2120,2137,2150,1841,2187,2203,2217,2238,2261,2277,2283,2305,2324,2337,1850,2361,1872,1883,1901,1903,1916,1942,2382,2617,2664,2400,2410,2435,2468,2491,2501,2517,2553
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,18,18,0,25,28,0,0,0,0,0,0,31,87,87,105,123,144,148,171,171,216,224,36,246,258,293,309,325,370,389,408,424,482,39,490,41,45,47,56,59,74,508,704,712,730,758,779,806,835,860,874,901,544,931,947,969,1015,1030,1059,1077,1116,1194,1226,563,1250,1265,580,612,631,650,668,692,1315,1667,1722,1752,1776,1809,1860,1885,1890,1906,1923,1351,1933,1933,1961,1978,2005,2039,2060,2118,2147,2173,1386,2181,1461,1485,1523,1533,1547,1586,2202,2404,2406,2260,2285,2303,2330,2331,2348,2358,2370
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,12,18,21,30,38,38,53,0,64,73,90,107,110,129,134,139,149,151,0,156,169,0,0,0,3,3,3,188,350,370,378,384,393,399,412,422,426,427,196,431,443,444,445,447,448,448,450,458,463,202,465,213,227,241,293,299,337,467,496,503,506,508,522,532,546,553,558,569,468,584,599,600,609,610,611,611,612,616,616,477,618,618,480,482,484,486,489,490,619,635,640,645,646,649,650,656,662,663,663,620,664,665,665,665,665,668,670,670,670,670,622,670,622,625,627,629,630,632,671,674,674,671,672,672,672,672,673,673,674
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,2,2,2,2,2,2,3,3,5,5,0,5,6,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,8,6,8,6,6,6,6,6,7,8,8,8,9,15,20,29,40,62,81,131,8,141,173,200,227,237,262,268,292,346,423,8,483,530,8,8,8,8,8,8,588,1283,1439,1572,1682,1783,1887,2057,2223,2424,2621,668,2813,2984,3121,3292,3519,3739,3907,4025,4149,4237,745,4363,784,883,947,1049,1104,1162,4472,5203,5275,4606,4705,4827,4879,4948,5024,5087,5126
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,14,28,36,42,48,81,94,102,107,0,128,143,0,0,0,0,0,0,161,318,319,324,324,324,324,324,324,325,328,169,328,328,329,331,331,331,332,334,334,332,186,332,196,227,244,268,273,314,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,334,334,334,334,334,335,332,335,335,332,332,332,332,332,332,335,337,337,337,337,337,337,337,337,337,337,335,337,337,340,340,341,341,341,341,341,341,335,341,335,337,337,337,337,337,341,342,342,341,341,341,341,342,342,342,342
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5,7,8,12,26,41,53,82,93,118,164,5,203,251,316,367,405,475,585,717,848,993,5,1094,1215,5,5,6,6,7,7,1378,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,1510,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,1688,19224,1890,2143,2439,2785,3181,3441,20739,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,22088,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,23471,87512,90664,24905,26025,27634,29616,31522,33460,93435,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,97326,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,101238,226089,105680,110026,113619,117103,120102,124301,231770,289174,295268,238511,245251,252165,256848,261750,268008,275003,282283
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,12,23,23,30,30,49,0,66,80,94,109,125,149,177,199,231,263,0,298,353,0,0,0,0,1,1,423,1438,1560,1662,1712,1934,2049,2154,2264,2378,2472,505,2548,2614,2778,2926,3110,3304,3408,3481,3638,3771,591,3897,752,864,965,1056,1174,1289,3980,4927,4995,5154,5406,5553,5745,5934,6060,6138,6340,4052,6553,6704,6847,6994,7093,7147,7305,7537,7725,7896,4121,8098,8251,4248,4363,4476,4605,4728,4867,8360,10321,10727,11093,11459,11740,11879,12254,12732,13106,13556,8548,13953,14200,14363,14714,15078,15453,15776,16080,16250,16357,8795,16613,9018,9247,9511,9700,9807,10025,16898,18924,19208,17150,17445,17672,17814,17906,18141,18471,18666
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,7,7,7,7,1,11,11,23,23,23,31,33,42,42,46,1,49,52,1,1,1,1,1,1,55,90,92,93,93,93,93,93,94,94,94,60,94,94,94,94,94,94,94,95,95,95,64,95,66,73,77,79,81,84,95,96,96,96,96,96,96,96,96,97,97,95,97,97,97,98,98,98,98,98,98,98,95,99,99,95,95,95,95,95,96,99,99,99,99,99,99,99,99,99,99,99,99,99,100,101,101,102,102,102,103,103,103,99,103,99,99,99,99,99,99,103,108,109,106,106,106,108,108,108,108,108
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,6,6,0,6,10,10,10,10,10,11,11,12,12,0,12,12,0,0,0,0,0,0,14,16,16,16,17,30,30,31,31,31,32,14,33,34,35,36,37,37,38,38,38,38,14,38,14,14,15,15,16,16,38,42,42,42,42,98,98,135,136,140,140,39,140,140,141,141,141,141,141,148,161,179,39,179,179,40,41,41,41,42,42,185,194,197,197,197,197,197,197,201,204,204,185,206,213,215,215,216,219,219,219,220,220,185,220,186,191,193,193,194,194,220,227,230,220,220,220,220,225,227,227,227
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,14,14,21,27,47,52,69,82,84,85,0,91,109,0,0,0,0,0,0,123,255,263,272,274,283,288,303,303,307,308,144,312,313,315,316,319,320,321,321,321,322,174,322,201,214,233,241,248,252,322,324,324,324,324,324,324,324,324,324,324,322,324,324,324,324,324,324,324,324,324,324,322,324,324,323,324,324,324,324,324,324,324,324,324,324,325,326,326,333,337,355,324,359,362,367,378,389,414,439,469,481,501,324,548,324,324,324,324,324,324,576,1019,1164,616,663,720,781,841,907,960,1019
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,17,28,29,38,49,63,1,77,96,115,143,170,225,275,345,402,479,1,556,617,1,2,2,2,2,2,654,1448,1545,1661,1763,1888,2024,2283,2564,2685,2855,708,3046,3209,3446,3568,3758,3897,4065,4120,4252,4321,791,4423,919,1021,1120,1184,1275,1374,4569,6063,6281,6418,6512,6607,6652,6741,6870,6952,7023,4729,7133,7211,7332,7406,7433,7532,7577,7601,7643,7714,4903,7780,7807,5053,5219,5408,5548,5711,5910,7833,8508,8537,8610,8692,8793,8885,8931,8997,9074,9613,7866,9839,9977,10172,10344,10907,11338,11633,11877,12052,12290,7922,12533,8003,8071,8151,8224,8302,8437,12636,15328,15542,12969,13288,13822,14215,14379,14607,14771,15079
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,7,8,8,0,8,8,0,0,0,0,0,0,10,20,20,21,21,28,29,31,34,35,39,10,39,39,41,46,65,70,76,76,76,76,10,76,10,10,10,10,17,17,79,91,103,104,104,115,119,129,137,145,146,79,156,162,164,168,194,209,213,227,233,234,80,244,254,80,81,81,81,82,87,254,472,489,509,553,583,609,638,651,662,668,307,688,733,737,757,762,788,816,839,859,883,316,889,352,354,409,424,433,453,903,1111,1135,918,939,969,987,1012,1040,1071,1092
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,0,3,3,3,4,7,7,8,8,8,11,0,11,11,0,0,0,0,0,0,14,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,16,16,16,16,16,14,16,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,20,21,21,21,22,22,23,16,23,24,16,16,16,16,16,16,25,31,31,31,32,32,32,34,36,39,45,25,46,55,63,72,76,102,121,136,183,196,25,205,25,25,29,29,31,31,285,668,668,293,350,375,412,485,539,593,615
Nepal,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,1,5,5,1,1,1,1,1,1,5,9,9,12,14,16,16,16,30,31,31,6,31,43,45,48,49,49,52,52,54,57,6,57,9,9,9,9,9,9,59,110,134,217,250,249,267,291,295,375,402,59,427,457,516,584,603,682,772,886,1042,1212,75,1401,1572,75,82,99,101,102,110,1811,4364,4614,5062,5335,5760,6211,6591,7177,7848,8274,2099,8605,9026,9561,10099,10728,11162,11755,12309,12772,13248,2300,13564,2634,2912,3235,3448,3762,4086,14046,16649,16719,14519,15259,15491,15784,15964,16168,16423,16531
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,0,5,5,9,9,12,17,28,33,46,50,0,50,55,0,0,0,0,0,0,55,86,92,92,92,92,93,95,96,96,97,60,97,97,100,100,100,100,100,100,100,100,62,100,64,64,71,74,77,82,100,101,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,100,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,103,101,103,101,101,101,101,101,101,103,105,105,104,104,105,105,105,105,105,105
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,5,5,5,6,8,8,12,20,28,1,39,52,102,102,155,205,283,368,451,514,1,589,647,3,3,4,5,5,5,708,1283,1312,1330,1349,1366,1386,1401,1409,1422,1431,797,1440,1445,1451,1456,1461,1470,1469,1472,1474,1476,868,1479,950,1039,1106,1160,1210,1239,1485,1497,1497,1497,1497,1498,1498,1499,1499,1499,1503,1487,1503,1504,1504,1504,1504,1504,1504,1504,1504,1504,1487,1504,1504,1486,1488,1489,1490,1492,1494,1504,1504,1504,1504,1504,1504,1506,1506,1507,1507,1509,1504,1511,1513,1515,1516,1519,1520,1522,1526,1528,1528,1504,1528,1504,1504,1504,1504,1504,1504,1530,1543,1544,1530,1530,1533,1534,1536,1537,1540,1542
